Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delay Duration,Shipment Duration,Is Weekend,Weather Code,Traffic Code,Distance_Traffic,Traffic_Weather,Day of Week,Month,Quarter
SHIP000000,Jaipur,Mumbai,2023-04-26,2023-05-01,2023-05-02,Trailer,1603,Rain,Light,Yes,1,5,0,1,1,1603,1,2,4,2
SHIP000001,Bangalore,Delhi,2023-02-09,2023-02-13,2023-02-17,Trailer,1237,Rain,Moderate,Yes,4,4,0,1,2,2474,2,3,2,1
SHIP000002,Mumbai,Chennai,2023-09-19,2023-09-25,2023-09-25,Truck,1863,Clear,Light,No,0,6,0,0,1,1863,0,1,9,3
SHIP000003,Hyderabad,Ahmedabad,2023-04-01,2023-04-05,2023-04-05,Container,1374,Clear,Light,No,0,4,1,0,1,1374,0,5,4,2
SHIP000004,Chennai,Kolkata,2023-11-24,2023-11-26,2023-11-28,Container,676,Clear,Heavy,Yes,2,2,0,0,3,2028,0,4,11,4
SHIP000005,Chennai,Ahmedabad,2024-03-14,2024-03-16,2024-03-19,Container,746,Rain,Light,Yes,3,2,0,1,1,746,1,3,3,1
SHIP000006,Bangalore,Lucknow,2024-05-28,2024-06-03,2024-06-10,Lorry,1988,Fog,Light,Yes,7,6,0,2,1,1988,2,1,5,2
SHIP000007,Kolkata,Mumbai,2023-04-01,2023-04-06,2023-04-08,Container,1521,Rain,Moderate,Yes,2,5,1,1,2,3042,2,5,4,2
SHIP000008,Kolkata,Bangalore,2023-10-01,2023-10-02,2023-10-03,Truck,390,Rain,Light,Yes,1,1,1,1,1,390,1,6,10,4
SHIP000009,Lucknow,Ahmedabad,2023-03-08,2023-03-09,2023-03-09,Trailer,324,Clear,Light,No,0,1,0,0,1,324,0,2,3,1
SHIP000010,Delhi,Ahmedabad,2023-07-19,2023-07-24,2023-07-25,Trailer,1679,Rain,Light,Yes,1,5,0,1,1,1679,1,2,7,3
SHIP000011,Ahmedabad,Delhi,2023-04-03,2023-04-09,2023-04-13,Trailer,1823,Rain,Moderate,Yes,4,6,0,1,2,3646,2,0,4,2
SHIP000012,Mumbai,Kolkata,2023-06-12,2023-06-13,2023-06-18,Truck,520,Clear,Moderate,Yes,5,1,0,0,2,1040,0,0,6,2
SHIP000013,Hyderabad,Ahmedabad,2023-11-12,2023-11-16,2023-11-18,Container,1456,Clear,Heavy,Yes,2,4,1,0,3,4368,0,6,11,4
