Shipment ID,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delay Duration,Shipment Duration,Is Weekend,Weather Code,Traffic Code,Distance_Traffic,Traffic_Weather,Day of Week,Month,Quarter,Origin_Bangalore,Origin_Chennai,Origin_Delhi,Origin_Hyderabad,Origin_Jaipur,Origin_Kolkata,Origin_Lucknow,Origin_Mumbai,Origin_Pune,Destination_Bangalore,Destination_Chennai,Destination_Delhi,Destination_Hyderabad,Destination_Jaipur,Destination_Kolkata,Destination_Lucknow,Destination_Mumbai,Destination_Pune
SHIP000000,2023-04-26,2023-05-01,2023-05-02,2,0.9628031035005945,Rain,Light,Yes,-0.4577011049574668,0.997530480641832,0,1,1,-0.18058928273793398,0.27475658836879496,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SHIP000001,2023-02-09,2023-02-13,2023-02-17,2,0.25990971432074256,Rain,Moderate,Yes,1.009838375481159,0.4211231764456965,0,1,2,0.5203426680919707,1.0899370908722663,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHIP000002,2023-09-19,2023-09-25,2023-09-25,3,1.4621262761420193,Clear,Light,No,-0.946880931770342,1.5739377848379674,0,0,1,0.028644135420246533,-0.5404239141346763,1,9,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SHIP000003,2023-04-01,2023-04-05,2023-04-05,0,0.5230146168279549,Clear,Light,No,-0.946880931770342,0.4211231764456965,1,0,1,-0.3648756395003315,-0.5404239141346763,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000004,2023-11-24,2023-11-26,2023-11-28,0,-0.817476054340178,Clear,Heavy,Yes,0.03147872185540848,-0.7316914319465744,0,0,3,0.16142688155909188,-0.5404239141346763,4,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SHIP000005,2024-03-14,2024-03-16,2024-03-19,0,-0.683042892475179,Rain,Light,Yes,0.5206585486682838,-0.7316914319465744,0,1,1,-0.8702548187439367,0.27475658836879496,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000006,2024-05-28,2024-06-03,2024-06-10,1,1.702185493758089,Fog,Light,Yes,2.477377855919785,1.5739377848379674,0,2,1,0.12923712491937178,1.0899370908722663,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SHIP000007,2023-04-01,2023-04-06,2023-04-08,0,0.8053242567444527,Rain,Moderate,Yes,0.03147872185540848,0.997530480641832,1,1,2,0.9774372123759959,1.0899370908722663,5,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SHIP000008,2023-10-01,2023-10-02,2023-10-03,3,-1.3667315442457453,Rain,Light,Yes,-0.4577011049574668,-1.3080987361427099,1,1,1,-1.1567436528374455,0.27475658836879496,6,10,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SHIP000009,2023-03-08,2023-03-09,2023-03-09,2,-1.4934828111470302,Clear,Light,No,-0.946880931770342,-1.3080987361427099,0,0,1,-1.2098567512929836,-0.5404239141346763,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SHIP000010,2023-07-19,2023-07-24,2023-07-25,2,1.1087591078111647,Rain,Light,Yes,-0.4577011049574668,0.997530480641832,0,1,1,-0.11942874512246583,0.27475658836879496,2,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000011,2023-04-03,2023-04-09,2023-04-13,2,1.385307326504877,Rain,Moderate,Yes,1.009838375481159,1.5739377848379674,0,1,2,1.463502537635769,1.0899370908722663,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHIP000012,2023-06-12,2023-06-13,2023-06-18,3,-1.117069957925033,Clear,Moderate,Yes,1.4990182022940344,-1.3080987361427099,0,0,2,-0.6336601074419941,-0.5404239141346763,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SHIP000013,2023-11-12,2023-11-16,2023-11-18,0,0.6804934635840966,Clear,Heavy,Yes,0.03147872185540848,0.4211231764456965,1,0,3,2.044527644982717,-0.5404239141346763,6,11,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000014,2023-09-15,2023-09-17,2023-09-17,1,-0.6215877327654652,Clear,Light,No,-0.946880931770342,-0.7316914319465744,0,0,1,-0.8445030134321606,-0.5404239141346763,4,9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SHIP000015,2024-05-16,2024-05-21,2024-05-26,3,1.0933953178837363,Clear,Moderate,Yes,1.4990182022940344,0.997530480641832,0,0,2,1.2188603871738966,-0.5404239141346763,3,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
SHIP000016,2023-07-28,2023-08-02,2023-08-03,3,1.003133052060094,Clear,Moderate,Yes,-0.4577011049574668,0.997530480641832,0,0,2,1.1432144590705544,-0.5404239141346763,4,7,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SHIP000017,2023-11-28,2023-11-29,2023-11-29,3,-1.5126875485563156,Clear,Light,No,-0.946880931770342,-1.3080987361427099,0,0,1,-1.2179041904529135,-0.5404239141346763,1,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SHIP000018,2023-09-03,2023-09-04,2023-09-07,3,-1.420504808991745,Fog,Moderate,Yes,0.5206585486682838,-1.3080987361427099,1,2,2,-0.8879591848957827,2.720298095879209,6,9,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SHIP000019,2024-02-02,2024-02-07,2024-02-08,1,1.1318047927023074,Rain,Light,Yes,-0.4577011049574668,0.997530480641832,0,1,1,-0.10977181813054981,0.27475658836879496,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SHIP000020,2024-04-12,2024-04-15,2024-04-15,0,-0.19716303602025403,Clear,Light,No,-0.946880931770342,-0.15528412775043895,0,0,1,-0.6666546079977073,-0.5404239141346763,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
SHIP000021,2023-11-13,2023-11-19,2023-11-19,3,1.4006711164323056,Clear,Light,No,-0.946880931770342,1.5739377848379674,0,0,1,0.0028923301084704694,-0.5404239141346763,0,11,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SHIP000022,2023-06-24,2023-06-29,2023-06-29,1,0.8072447304853814,Clear,Light,No,-0.946880931770342,0.997530480641832,1,0,1,-0.24577353993336715,-0.5404239141346763,5,6,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SHIP000023,2023-05-04,2023-05-10,2023-05-11,3,1.5043766984424476,Rain,Light,Yes,-0.4577011049574668,1.5739377848379674,0,1,1,0.04634850157209258,0.27475658836879496,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000024,2023-12-20,2023-12-23,2023-12-23,3,-0.3200733554396817,Clear,Light,No,-0.946880931770342,-0.15528412775043895,0,0,1,-0.7181582186212594,-0.5404239141346763,2,12,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIP000025,2023-11-30,2023-12-01,2023-12-03,1,-1.0959447467748187,Rain,Moderate,Yes,0.03147872185540848,-1.3080987361427099,0,1,2,-0.6159557412901481,1.0899370908722663,3,11,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SHIP000026,2023-05-22,2023-05-26,2023-05-26,0,0.43467282474524127,Clear,Light,No,-0.946880931770342,0.4211231764456965,0,0,1,-0.40189385963600954,-0.5404239141346763,0,5,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
