Vehicle Type,Distance (km),Delay Duration,Is Weekend,Weather Code,Traffic Code,Traffic_Weather,Day of Week,Month
2,0.9628031035005945,-0.4577011049574668,0,1,1,0.27475658836879496,2,4
2,0.25990971432074256,1.009838375481159,0,1,2,1.0899370908722663,3,2
3,1.4621262761420193,-0.946880931770342,0,0,1,-0.5404239141346763,1,9
0,0.5230146168279549,-0.946880931770342,1,0,1,-0.5404239141346763,5,4
0,-0.817476054340178,0.03147872185540848,0,0,3,-0.5404239141346763,4,11
0,-0.683042892475179,0.5206585486682838,0,1,1,0.27475658836879496,3,3
1,1.702185493758089,2.477377855919785,0,2,1,1.0899370908722663,1,5
0,0.8053242567444527,0.03147872185540848,1,1,2,1.0899370908722663,5,4
3,-1.3667315442457453,-0.4577011049574668,1,1,1,0.27475658836879496,6,10
2,-1.4934828111470302,-0.946880931770342,0,0,1,-0.5404239141346763,2,3
2,1.1087591078111647,-0.4577011049574668,0,1,1,0.27475658836879496,2,7
2,1.385307326504877,1.009838375481159,0,1,2,1.0899370908722663,0,4
3,-1.117069957925033,1.4990182022940344,0,0,2,-0.5404239141346763,0,6
0,0.6804934635840966,0.03147872185540848,1,0,3,-0.5404239141346763,6,11
1,-0.6215877327654652,-0.946880931770342,0,0,1,-0.5404239141346763,4,9
3,1.0933953178837363,1.4990182022940344,0,0,2,-0.5404239141346763,3,5
3,1.003133052060094,-0.4577011049574668,0,0,2,-0.5404239141346763,4,7
3,-1.5126875485563156,-0.946880931770342,0,0,1,-0.5404239141346763,1,11
3,-1.420504808991745,0.5206585486682838,1,2,2,2.720298095879209,6,9
1,1.1318047927023074,-0.4577011049574668,0,1,1,0.27475658836879496,4,2
0,-0.19716303602025403,-0.946880931770342,0,0,1,-0.5404239141346763,4,4
3,1.4006711164323056,-0.946880931770342,0,0,1,-0.5404239141346763,0,11
1,0.8072447304853814,-0.946880931770342,1,0,1,-0.5404239141346763,5,6
3,1.5043766984424476,-0.4577011049574668,0,1,1,0.27475658836879496,3,5
3,-0.3200733554396817,-0.946880931770342,0,0,1,-0.5404239141346763,2,12
1,-1.0959447467748187,0.03147872185540848,0,1,2,1.0899370908722663,3,11
0,0.43467282474524127,-0.946880931770342,0,0,1,-0.5404239141346763,0,5
2,1.2796812707538063,0.03147872185540848,0,0,3,-0.5404239141346763,1,10
0,1.719469757426446,-0.946880931770342,1,0,1,-0.5404239141346763,5,8
1,-1.7028144489082429,-0.946880931770342,1,0,1,-0.5404239141346763,5,8
2,0.895586522568095,0.5206585486682838,1,1,3,1.9051175933757376,5,8
1,-1.6797687640171002,-0.946880931770342,1,0,1,-0.5404239141346763,5,4
1,0.9973716308373085,0.5206585486682838,0,1,3,1.9051175933757376,4,5
3,0.9224731549410947,0.03147872185540848,0,0,1,-0.5404239141346763,4,4
1,-0.5678144680194656,-0.946880931770342,0,0,1,-0.5404239141346763,3,10
2,-1.5568584445976725,1.4990182022940344,0,0,1,-0.5404239141346763,1,1
1,-0.6081444165789652,0.03147872185540848,0,2,1,1.0899370908722663,1,10
3,1.5062971721833762,-0.946880931770342,0,0,1,-0.5404239141346763,3,11
2,-0.2701410381755392,-0.946880931770342,0,0,1,-0.5404239141346763,0,7
2,1.6637760189395179,0.5206585486682838,0,0,1,-0.5404239141346763,4,2
1,-1.476198547478673,0.5206585486682838,0,0,1,-0.5404239141346763,2,5
2,0.7899604668170244,0.03147872185540848,0,0,3,-0.5404239141346763,2,6
1,0.24262545065238555,-0.4577011049574668,0,0,2,-0.5404239141346763,0,12
1,-0.4410632011181808,0.5206585486682838,0,1,3,1.9051175933757376,0,6
0,-0.5562916255738942,-0.946880931770342,0,0,1,-0.5404239141346763,1,11
0,0.27335303050724247,0.03147872185540848,1,0,1,-0.5404239141346763,5,4
3,-1.4339481251782449,-0.4577011049574668,0,0,2,-0.5404239141346763,2,11
0,0.17540886971988603,-0.946880931770342,0,0,1,-0.5404239141346763,4,5
3,0.4135476135950271,-0.4577011049574668,0,0,2,-0.5404239141346763,0,8
2,1.6656964926804463,0.03147872185540848,0,2,1,1.0899370908722663,0,5
3,-0.2874253018438962,-0.946880931770342,0,0,1,-0.5404239141346763,3,2
1,-0.9557501636870341,-0.4577011049574668,0,0,2,-0.5404239141346763,0,3
3,0.13891986864224345,-0.946880931770342,0,0,1,-0.5404239141346763,0,1
2,-1.420504808991745,-0.946880931770342,1,0,1,-0.5404239141346763,6,2
0,-0.1856401935746827,-0.4577011049574668,0,0,2,-0.5404239141346763,1,2
0,0.2848758729528138,0.5206585486682838,1,0,1,-0.5404239141346763,6,3
3,0.35401292762624187,0.03147872185540848,0,2,1,1.0899370908722663,4,10
0,0.8053242567444527,2.477377855919785,0,2,1,1.0899370908722663,0,7
