Vehicle Type,Distance (km),Is Weekend,Weather Code,Traffic Code,Day of Week,Month,Origin_Bangalore,Origin_Chennai,Origin_Delhi,Origin_Hyderabad,Origin_Jaipur,Origin_Kolkata,Origin_Lucknow,Origin_Mumbai,Origin_Pune,Destination_Bangalore,Destination_Chennai,Destination_Delhi,Destination_Hyderabad,Destination_Jaipur,Destination_Kolkata,Destination_Lucknow,Destination_Mumbai,Destination_Pune,Delayed
3,0.5940721452423114,0,0,1,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,-0.4583474647865378,0,0,2,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,-0.665758628806822,0,0,3,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1.3104088506086633,1,0,1,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.44298367485910933,1,1,2,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,-0.27590245939832486,1,1,3,5,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
0,1.6868217038306605,0,0,2,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,-1.4493119151056733,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0.49228703697309795,0,1,1,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,-1.1804455913756753,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
3,-0.6849633662161075,0,1,2,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,1.2719993757900923,1,0,1,5,11,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,-0.466029359750252,0,0,2,3,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.9877692621326657,1,1,1,5,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-0.7925098957081067,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-0.700327156143536,0,0,1,4,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,-0.3661647252219671,0,1,1,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,-0.782907527003464,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,-0.8846926352726775,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.9115792676456773,0,0,1,4,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0.2848758729528138,0,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,-0.47371125471396625,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0.27527350424817104,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.4193090348178128,0,1,2,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2,0.5806288290558116,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,1.350738799168163,0,0,2,3,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
3,1.3661025890955916,1,0,3,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,-1.3801748604322452,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0.9493597873140945,1,1,2,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,1.385307326504877,1,0,1,6,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,-0.3508009352945386,0,0,3,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,0.1773293434608146,1,0,2,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0.12931749993760067,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-1.4704371262558873,1,0,1,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,-0.782907527003464,0,1,1,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.021770970445601476,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0.7361872020710247,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1.56775233189309,0,1,2,4,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,-1.289912594608603,1,2,2,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1.0377015793968083,1,2,1,6,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.7073800959570964,0,0,1,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,-1.359049649282031,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0.4308318772633841,0,0,2,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0.2675916092844568,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1.39490969520952,1,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,-0.9134997413866058,0,0,3,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.3718640103183772,0,1,1,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-1.6893711327217429,0,0,1,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0.5518217229418833,1,0,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,-1.4531528625875303,0,2,1,2,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0.46155945711824103,0,0,1,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0.27911445173002813,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0.16580650101524327,1,2,2,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
0,-1.0191257971376764,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.9807163223191053,1,0,1,5,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,-1.6010293406390292,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0.9109503124955234,0,0,3,3,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
3,-0.786748474485321,1,1,1,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,-0.32199382918061026,0,0,2,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,-0.3642442514810385,1,0,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,0.6728115686203824,0,1,2,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,1.3833868527639486,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.0844219043292473,1,0,3,5,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,-1.6202340780483149,0,1,2,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,-0.25861819572996786,0,2,3,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3,0.7822785718533101,0,0,2,4,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,0.01985049670467292,1,2,2,5,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
2,-1.6548026053850289,1,0,2,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
2,-1.2188550661942463,0,0,2,2,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3,0.14468128986502912,0,2,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,-1.5126875485563156,0,0,2,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0.8494951527858096,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,-0.7041681036253931,0,0,3,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
2,-0.6964862086616789,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.467887697364805,1,2,2,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,-1.6778482902761716,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1.2278284797487353,0,2,2,2,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2,1.464046749882948,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,-0.5562916255738942,1,0,1,6,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1.5658318581521613,1,0,2,5,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1.3046474293858776,0,0,1,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,0.21573881827938574,1,0,1,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1,1.2931245869403063,1,1,1,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,-1.255344067271889,1,1,2,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,0.8341313628583812,0,0,3,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,1.4006711164323056,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0.14852223734688624,0,1,1,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0.3156034528076707,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,-1.1785251176347467,0,0,1,4,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,-0.39305135759496684,0,0,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,-0.08385508530546916,1,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,-1.1919684338212466,0,1,2,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-1.0959447467748187,0,1,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1.0396220531377367,0,0,1,4,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,-1.030648639583248,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,0.6555273049520254,0,0,2,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,-0.279743406880182,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,-1.2783897521630316,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,-0.2566977219890393,0,1,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2,-1.6567230791259575,0,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,-0.8482036341950349,0,0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3,1.1913394786710927,0,0,2,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,-0.414176568745181,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0.7400281495528819,0,0,1,3,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,-0.37960804140846693,0,0,2,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,0.5499012492009547,0,0,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.9916102096145228,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2,0.05825997152324406,0,0,1,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
